product_id,attribute_name,attribute_value,status,source_document_id,source_chunk_id,confidence,reviewed_at,reviewer,notes
P1921461,certifications,AS7240.24,APPROVED,,,90.0,,,
P1922910,certifications,RCM,APPROVED,,,90.0,,,
P1922910,communication_protocols,"Modbus, BACnet",APPROVED,,,95.0,,,
P1922910,firmware,3.2.4.12,APPROVED,,,95.0,,,
M2M-FIRE,certifications,EN54-12,APPROVED,,,95.0,,,
M2M-FIRE,wired_interfaces,4÷20mA,APPROVED,,,90.0,,,
M2M-FIRE,voltage_rating,24V,APPROVED,,,80.0,,,
M2M-FIRE,current_rating,1A@30V,APPROVED,,,85.0,,,
M2M-FIRE,power_consumption,42mA,APPROVED,,,70.0,,,
M2M-FIRE,frequency,2KHz,APPROVED,,,90.0,,,
M2M-FIRE,operating_temperature,-20°C ÷ +55°C,APPROVED,,,95.0,,,
M2M-FIRE,ingress_protection,IP44,APPROVED,,,90.0,,,
M2M-FIRE,dimensions,80mm; 150mm; 80mm,APPROVED,,,90.0,,,
M2M-FIRE,weight,"1,0kg",APPROVED,,,90.0,,,
M2M-FIRE,material,ABS,APPROVED,,,90.0,,,
M2M-FIRE,housing,ABS,APPROVED,,,90.0,,,
P1907321,certifications,AS7240.24,APPROVED,,,90.0,,,
VESDA-E,certifications,AS7240.24,APPROVED,,,90.0,,,
P1907299,certifications,AS7240.24,APPROVED,,,90.0,,,
UKF00231,communication_protocols,"Ethernet, Wi-Fi, USB, VESDAnet",APPROVED,,,95.0,,,
UKF00231,wired_interfaces,"Ethernet, USB",APPROVED,,,90.0,,,
UKF00231,network_capabilities,VESDAnet,APPROVED,,,80.0,,,
UKF00231,power_consumption,up to 8% less,APPROVED,,,70.0,,,
UKF00231,power_supply,optional integrated Power Supply,APPROVED,,,80.0,,,
P1923309,certifications,AS7240.24,APPROVED,,,90.0,,,
P1907246,certifications,AS7240.24,APPROVED,,,90.0,,,
P1907250,certifications,AS7240.24,APPROVED,,,90.0,,,
E0002149,certifications,AS7240.24,APPROVED,,,90.0,,,
P1908336,certifications,AS7240.24,APPROVED,,,90.0,,,
P1908229,certifications,AS7240.24,APPROVED,,,90.0,,,
P1913916,certifications,AS7240.24,APPROVED,,,90.0,,,
E0002042,certifications,AS7240.24,APPROVED,,,90.0,,,
E0002012,certifications,AS7240.24,APPROVED,,,90.0,,,
E0002000,certifications,AS7240.24,APPROVED,,,90.0,,,
P1922390,certifications,AS7240.24,APPROVED,,,90.0,,,
P1906430,certifications,AS7240.24,APPROVED,,,90.0,,,
E0001984,certifications,AS7240.24,APPROVED,,,90.0,,,
E0002038,certifications,AS7240.24,APPROVED,,,90.0,,,
E0002008,certifications,AS7240.24,APPROVED,,,90.0,,,
E0001990,certifications,AS7240.24,APPROVED,,,90.0,,,
P1912897-NTF,certifications,AS7240.24,APPROVED,,,90.0,,,
P1908579,certifications,AS7240.24,APPROVED,,,90.0,,,
P1907299-NTF,certifications,AS7240.24,APPROVED,,,90.0,,,
P1913932,certifications,AS7240.24,APPROVED,,,90.0,,,
P1913496,certifications,AS7240.24,APPROVED,,,90.0,,,
E0001985,certifications,AS7240.24,APPROVED,,,90.0,,,
P1915276,certifications,AS7240.24,APPROVED,,,90.0,,,
P1908982,certifications,AS7240.24,APPROVED,,,90.0,,,
P1902275,certifications,AS7240.24,APPROVED,,,90.0,,,
P1915210,certifications,AS7240.24,APPROVED,,,90.0,,,
P1907310,certifications,AS7240.24,APPROVED,,,90.0,,,
P1901995,certifications,AS7240.24,APPROVED,,,90.0,,,
E0001955,certifications,AS7240.24,APPROVED,,,90.0,,,
P1919993,certifications,AS7240.24,APPROVED,,,90.0,,,
P1913443,certifications,AS7240.24,APPROVED,,,90.0,,,
P1907202,certifications,AS7240.24,APPROVED,,,90.0,,,
P1920418,certifications,AS7240.24,APPROVED,,,90.0,,,
E0002028,certifications,AS7240.24,APPROVED,,,90.0,,,
P1909007,certifications,AS7240.24,APPROVED,,,90.0,,,
VESDA-GATEWAY,certifications,AS7240.24,APPROVED,,,90.0,,,
P1907298,certifications,"UL, ULC, FM, CFE, LPCB, VdS, VNIIPO, AFNOR, ActivFire, CE",APPROVED,,,95.0,,,
P1907298,voltage_rating,24 Vcc,APPROVED,,,98.0,,,
P1907298,current_rating,410 mA,APPROVED,,,95.0,,,
P1907298,operating_temperature,0°C to 39°C,APPROVED,,,95.0,,,
P1907298,storage_temperature,-10°C to 55°C,APPROVED,,,90.0,,,
P1907298,humidity_range,5-95%,APPROVED,,,95.0,,,
P1907298,ingress_protection,IP30,APPROVED,,,98.0,,,
P1907298,dimensions,256mm x 183mm x 92mm,APPROVED,,,98.0,,,
P1907298,weight,2 kg,APPROVED,,,95.0,,,
P1907298,mounting_type,"verticale, capovolta, orizzontale",APPROVED,,,90.0,,,
CN4000011,certifications,AS7240.24,APPROVED,,,90.0,,,
E0002034,certifications,AS7240.24,APPROVED,,,90.0,,,
P1915609,certifications,AS7240.24,APPROVED,,,90.0,,,
P1914001,certifications,AS7240.24,APPROVED,,,90.0,,,
E0002029,certifications,AS7240.24,APPROVED,,,90.0,,,
E0002001,certifications,AS7240.24,APPROVED,,,90.0,,,
P1913934,certifications,AS7240.24,APPROVED,,,90.0,,,
E0002077,certifications,AS7240.24,APPROVED,,,90.0,,,
E0001495,certifications,AS7240.24,APPROVED,,,90.0,,,
E0001957,certifications,AS7240.24,APPROVED,,,90.0,,,
P1908994,certifications,AS7240.24,APPROVED,,,90.0,,,
P1902247,certifications,AS7240.24,APPROVED,,,90.0,,,
P1919977,certifications,AS7240.24,APPROVED,,,90.0,,,
P1908280,certifications,AS7240.24,APPROVED,,,90.0,,,
E0002104,certifications,AS7240.24,APPROVED,,,90.0,,,
P1913848,certifications,AS7240.24,APPROVED,,,90.0,,,
P1902280,certifications,AS7240.24,APPROVED,,,90.0,,,
E0002067,certifications,AS7240.24,APPROVED,,,90.0,,,
E0001958,certifications,AS7240.24,APPROVED,,,90.0,,,
E0001987,certifications,AS7240.24,APPROVED,,,90.0,,,
E0002040,certifications,AS7240.24,APPROVED,,,90.0,,,
P1908208,certifications,AS7240.24,APPROVED,,,90.0,,,
P1919974,certifications,AS7240.24,APPROVED,,,90.0,,,
CN4000007,certifications,AS7240.24,APPROVED,,,90.0,,,
P1907203,certifications,AS7240.24,APPROVED,,,90.0,,,
P1907231,certifications,AS7240.24,APPROVED,,,90.0,,,
CN4000009,certifications,AS7240.24,APPROVED,,,90.0,,,
E0001959,certifications,AS7240.24,APPROVED,,,90.0,,,
P1919976,certifications,AS7240.24,APPROVED,,,90.0,,,
P1908555,certifications,AS7240.24,APPROVED,,,90.0,,,
E0002041,certifications,AS7240.24,APPROVED,,,90.0,,,
P1906375,certifications,AS7240.24,APPROVED,,,90.0,,,
P1914585,certifications,AS7240.24,APPROVED,,,90.0,,,
P1908562,certifications,AS7240.24,APPROVED,,,90.0,,,
E0002066,certifications,AS7240.24,APPROVED,,,90.0,,,
E0002106,certifications,AS7240.24,APPROVED,,,90.0,,,
E0001966,certifications,AS7240.24,APPROVED,,,90.0,,,
P1909275,certifications,AS7240.24,APPROVED,,,90.0,,,
P1914559,certifications,AS7240.24,APPROVED,,,90.0,,,
E0001975,certifications,AS7240.24,APPROVED,,,90.0,,,
P1907228,certifications,AS7240.24,APPROVED,,,90.0,,,
E0001502,certifications,AS7240.24,APPROVED,,,90.0,,,
P1907373,certifications,AS7240.24,APPROVED,,,90.0,,,
P1922360,certifications,AS7240.24,APPROVED,,,90.0,,,
